Species,Long,Lat
slide,200633.9871,441096.1353
slide,200594.6573,441058.5488
slide,200453.6027,441320.6507
slide,200393.073,441318.4775
slide,200415.5813,440918.1128
slide,200264.8646,440743.3566
slide,199479.0382,440953.189
slide,201451.6486,441965.792
slide,201370.9771,441471.7768
slide,200940.3816,441220.3056
slide,200777.6396,441173.404
slide,200792.7157,440804.7646
slide,200851.5054,440767.5323
slide,201352.6768,440354.615
slide,201320.1909,440249.7388
slide,201822.2351,440851.6674
slide,201654.5307,441032.2213
slide,201810.8892,441577.4555
slide,201635.9425,441335.0541
slide,202198.6403,441411.2042
slide,199499.8984,440479.1701
slide,201948.4696,441740.1489
slide,199435.3207,440550.3927
slide,199514.781,440408.3443
slide,200396.5205,441056.4726
slide,199569.2253,440203.5646
slide,199588.9772,440011.765
slide,200315.4521,440743.5767
slide,200308.8821,440675.4303
slide,200612.143,440666.1095
slide,200925.2343,440698.7536
slide,200959.9336,440632.8043
slide,201127.718,440678.4648
slide,200868.6534,440973.737
slide,200874.8094,440905.2837
slide,200415.2643,440178.5001
slide,200514.6773,440059.1493
slide,200500.8865,440754.2246
slide,200888.7583,440533.8003
slide,200274.8957,440142.0265
slide,200265.2536,440710.9221
slide,200337.596,440828.4706
slide,199940.5829,440915.3106
slide,199574.2111,440335.412
slide,200693.7756,441132.2472
slide,200850.5345,441201.1812
slide,201542.2906,441298.0354
slide,201817.4849,441620.2281
slide,202079.5797,441596.4383
slide,202107.6857,441576.5006
slide,202147.6608,441659.4287
slide,201950.8323,441628.8241
slide,201383.8438,441800.5889
slide,201069.857,441365.2319
slide,200983.8175,441346.2539
slide,200100.5747,440515.2902
slide,200301.5159,440169.1211
slide,200365.3503,440091.3411
slide,201000.4139,440532.5598
slide,201225.2929,440491.8116
slide,201197.6064,440733.8197
slide,200887.3585,440778.0388
slide,201260.3965,440738.8864
slide,201317.7066,440960.61
slide,201350.2206,441037.5425
slide,200606.2678,440606.5028
slide,199712.6143,439670.0574
slide,200707.2774,440477.1853
slide,199460.7761,439984.0144
slide,199401.0542,439954.2532
slide,199523.9187,440064.8319
slide,199521.3472,440118.6792
slide,199579.5261,440591.8035
slide,199655.5331,440754.8986
slide,200678.4692,439950.2254
slide,200702.1995,439847.1836
slide,200975.2641,439731.3345
slide,200918.8593,439839.7637
slide,200725.0484,439854.2812
slide,200977.1653,439700.5062
slide,200884.2695,439806.7125
slide,200149.2209,441172.9491
slide,200560.3719,441296.9934
slide,200555.2012,441415.9771
slide,200623.9441,441294.3723
slide,200638.5953,441352.245
slide,200548.3793,441456.8533
slide,200592.2998,441451.1688
slide,200660.3652,441480.0043
slide,201981.3912,441595.3314
slide,201791.3458,441479.8406
slide,201964.9739,441433.3724
slide,202471.3445,442051.0331
slide,202536.9893,441969.457
slide,202539.973,441884.9633
slide,202639.0946,441834.6648
slide,202641.5584,441812.0892
slide,202685.3915,441654.6236
slide,202620.8013,441723.9159
slide,202632.4674,441697.9627
slide,202674.8451,441627.8022
slide,202775.1285,441666.1875
slide,201812.4323,440899.8373
slide,201770.8002,440916.1566
slide,201431.6247,440630.2823
slide,201508.9201,440914.5712
slide,201539.2834,440886.765
slide,201148.1201,441048.0168
slide,201118.6201,440776.2546
slide,201022.2091,441179.1275
slide,201040.9321,440824.2554
slide,201153.0231,440337.1585
slide,200929.7044,440646.8285
slide,200904.6058,440794.5013
slide,200363.7921,440516.7898
slide,200637.583,440472.7104
slide,200602.6174,440524.1051
slide,200453.6614,440802.7995
slide,200396.1461,440463.7517
slide,200408.7697,440111.9007
slide,200648.9665,440091.9855
slide,199374.6908,440262.6522
slide,199348.8231,440375.4798
slide,199494.7514,440591.9496
slide,199476.9121,440328.7732
slide,198964.2068,441219.7845
slide,199371.0055,440484.2067
slide,199449.8435,440644.1917
slide,199445.4122,440703.3794
slide,199519.8285,440708.7396
slide,200751.7673,440117.72
slide,200788.2265,440296.6919
slide,201156.839,441394.8255
slide,201207.872,441396.0674
slide,201238.5816,441439.2618
slide,201716.3443,441245.9112
slide,202225.1795,441500.6167
slide,202207.9536,441522.1371
slide,202181.483,441626.9607
slide,202171.2013,441734.1933
slide,202201.6697,441756.3093
slide,202216.1355,441790.1867
slide,202031.3529,441743.7451
slide,202053.8313,441792.7241
slide,202062.9078,441814.2597
slide,200744.8227,440507.9208
